state,year,suicide_rate,hpi_growth,log_suicide
GA,2010,11.7,-4.414534744340559,2.4595888418037104
GA,2011,11.7,-7.4274453600859935,2.4595888418037104
GA,2012,11.7,-1.9390796145063227,2.4595888418037104
GA,2013,12.0,5.1665614145879335,2.4849066497880004
GA,2014,12.6,6.579095515106026,2.533696813957432
GA,2015,12.7,6.070850059863364,2.5416019934645457
GA,2016,13.3,6.523471217050658,2.5877640352277083
GA,2017,13.6,5.949449932994666,2.6100697927420065
GA,2018,14.1,7.01847276150136,2.6461747973841225
GA,2019,14.0,6.085426859435983,2.6390573296152584
GA,2020,13.4,6.811586692921545,2.5952547069568657
GA,2021,14.0,21.305033353547607,2.6390573296152584
GA,2022,14.5,15.515517517197242,2.6741486494265287
HI,1999,11.1,,2.4069451083182885
HI,2000,11.2,6.540593705293274,2.4159137783010487
HI,2001,10.9,8.220385212538272,2.388762789235098
HI,2002,9.5,8.363706863125264,2.2512917986064958
HI,2003,10.2,14.531076680860178,2.322387720290225
HI,2004,8.9,25.746688327918022,2.186051276738094
HI,2005,8.2,24.430420631568484,2.1041341542702074
HI,2006,9.0,6.143923964697895,2.19722457733622
HI,2007,9.5,0.6715701950751329,2.2512917986064958
HI,2008,9.7,-7.592121982210931,2.272125885509337
HI,2009,12.5,-8.919580207469712,2.525728644308256
HI,2010,15.0,-0.1576306558323414,2.70805020110221
HI,2011,12.8,-1.3186275599830988,2.5494451709255714
HI,2012,13.1,2.4471585019604447,2.5726122302071057
HI,2013,11.8,7.082526834418434,2.468099531471619
HI,2014,13.8,5.656889327088988,2.624668592163159
HI,2015,13.5,5.838096349002675,2.602689685444384
HI,2016,12.1,6.225087709630617,2.4932054526026954
HI,2017,15.2,3.4514957634445897,2.7212954278522306
HI,2018,13.3,3.2527663557650577,2.5877640352277083
HI,2019,12.4,3.4594962118759343,2.517696472610991
HI,2020,12.0,1.8056924689793252,2.4849066497880004
HI,2021,12.8,16.33339993544718,2.5494451709255714
HI,2022,13.0,15.416831813978082,2.5649493574615367
IA,1999,10.3,,2.33214389523559
IA,2000,9.8,4.5501050024231215,2.2823823856765264
IA,2001,10.2,5.1967449526163945,2.322387720290225
IA,2002,10.7,3.520195838433282,2.3702437414678603
IA,2003,11.9,4.232879303821413,2.476538400117484
IA,2004,11.5,4.401288624710742,2.4423470353692043
IA,2005,11.2,4.811160850102136,2.4159137783010487
IA,2006,11.2,2.0069663294078666,2.4159137783010487
IA,2007,10.7,1.7235772357723669,2.3702437414678603
IA,2008,12.6,-0.3316815856777566,2.533696813957432
IA,2009,11.9,-0.4650976304077625,2.476538400117484
IA,2010,12.1,0.4833836858006091,2.4932054526026954
IA,2011,13.9,-0.1884145119262381,2.631888840136646
IA,2012,12.7,1.1848341232227666,2.5416019934645457
IA,2013,14.4,1.2582860318342437,2.667228206581955
IA,2014,12.9,2.7949823598588885,2.5572273113676265
IA,2015,13.9,3.256683064485366,2.631888840136646
IA,2016,14.6,3.50481958858071,2.681021528714291
IA,2017,15.0,3.671590665810331,2.70805020110221
IA,2018,14.8,3.3040784718636917,2.6946271807700692
IA,2019,15.1,3.521572547059826,2.714694743820879
IA,2020,14.4,3.791194644696172,2.667228206581955
IA,2021,15.0,12.564341085271312,2.70805020110221
IA,2022,15.5,10.13718252437883,2.740840023925201
ID,1999,14.8,,2.694627180770069
ID,2000,13.3,3.464092885469916,2.5877640352277083
ID,2001,16.3,5.513992795788303,2.791165107812717
ID,2002,15.5,3.304446778711489,2.740840023925201
ID,2003,16.4,3.9571240943947927,2.797281334830153
ID,2004,17.6,10.11126054529894,2.8678989020441064
ID,2005,16.5,18.71345029239766,2.803360380906535
ID,2006,15.8,13.206958907526346,2.760009940032921
ID,2007,15.0,1.8782704489121336,2.70805020110221
ID,2008,16.7,-4.676686851211076,2.815408719422709
ID,2009,20.3,-8.870739039192344,3.0106208860477417
ID,2010,18.8,-7.46872471525487,2.933856869835904
ID,2011,18.2,-5.451671487186383,2.9014215940827497
ID,2012,19.0,1.611354177782531,2.9444389791664403
ID,2013,19.2,5.3000070013302425,2.954910279033736
ID,2014,20.0,5.465425531914891,2.995732273553991
ID,2015,22.1,7.36666246374984,3.095577608523707
ID,2016,21.4,7.231144123777922,3.0633909220278057
ID,2017,23.2,9.88938779980286,3.1441522786722644
ID,2018,22.7,12.936017540362755,3.122364924487357
ID,2019,23.1,10.569625838333918,3.139832617527748
ID,2020,22.0,13.188611105568748,3.091042453358316
ID,2021,22.5,30.666854695129487,3.1135153092103742
ID,2022,23.0,6.7762998138305,3.1354942159291497
IL,1999,8.3,,2.1162555148025524
IL,2000,8.1,6.642736486486478,2.091864061678393
IL,2001,9.2,5.95572803231299,2.2192034840549946
IL,2002,9.2,6.058227753485057,2.2192034840549946
IL,2003,8.0,6.748185213898106,2.079441541679836
IL,2004,8.1,8.322054600072626,2.091864061678393
IL,2005,8.6,8.572560492472725,2.151762203259462
IL,2006,7.9,4.050298930586349,2.066862759472976
IL,2007,8.6,-0.2346911248988448,2.151762203259462
IL,2008,9.3,-6.078468485520361,2.2300144001592104
IL,2009,9.1,-7.234777601842524,2.2082744135228043
IL,2010,9.0,-2.464154925206397,2.19722457733622
IL,2011,9.3,-4.763268423062228,2.2300144001592104
IL,2012,9.8,-1.4199325114429897,2.2823823856765264
IL,2013,9.9,0.4778689080187082,2.2925347571405443
IL,2014,10.5,3.943063379094003,2.3513752571634776
IL,2015,10.3,2.8004932502595947,2.33214389523559
IL,2016,10.7,3.525995138735416,2.3702437414678603
IL,2017,11.2,2.2258812050250043,2.4159137783010487
IL,2018,11.5,1.2885521684662615,2.4423470353692043
IL,2019,11.4,3.848872136168202,2.4336133554004498
IL,2020,10.8,3.354600879058567,2.379546134130174
IL,2021,11.2,11.915605794556638,2.4159137783010487
IL,2022,11.5,8.720060797724983,2.4423470353692043
IN,1999,10.4,,2.341805806147327
IN,2000,11.3,3.938506588579793,2.424802725718295
IN,2001,11.7,4.582805089918773,2.4595888418037104
IN,2002,12.1,2.599560005387702,2.4932054526026954
IN,2003,11.9,2.8793978645195173,2.476538400117484
IN,2004,11.3,3.1688643130582728,2.424802725718295
IN,2005,11.9,3.2117089259946274,2.476538400117484
IN,2006,13.0,1.473995366301839,2.5649493574615367
IN,2007,12.3,0.3739715781600594,2.509599262378372
IN,2008,12.6,-1.6824849007765263,2.533696813957432
IN,2009,12.8,-1.7830787027803274,2.5494451709255714
IN,2010,13.1,-0.2152546503127239,2.5726122302071057
IN,2011,13.5,-1.391998046318521,2.602689685444384
IN,2012,14.3,0.0495315144260377,2.660259537265861
IN,2013,14.3,0.4991955113659907,2.660259537265861
IN,2014,14.3,2.996715927750415,2.660259537265861
IN,2015,14.4,3.459545635711425,2.667228206581955
IN,2016,15.4,4.041143385468837,2.734367509419584
IN,2017,16.3,4.639537897582113,2.791165107812717
IN,2018,16.2,6.1181882519462105,2.785011242238338
IN,2019,16.1,5.948847910900668,2.7788192719904172
IN,2020,15.5,7.094073584489968,2.740840023925201
IN,2021,16.0,17.098186734064136,2.772588722239781
IN,2022,16.5,10.917304555151208,2.803360380906535
KS,1999,11.2,,2.4159137783010487
KS,2000,12.2,5.263458354741113,2.501435951739211
KS,2001,10.9,5.282282119420789,2.388762789235098
KS,2002,12.7,4.151857003039194,2.5416019934645457
KS,2003,12.8,3.813244967604734,2.5494451709255714
KS,2004,13.7,4.311576941400652,2.617395832834079
KS,2005,13.3,4.1881708152546215,2.5877640352277083
KS,2006,13.9,3.1518499035595227,2.631888840136646
KS,2007,13.7,1.3896561982066349,2.617395832834079
KS,2008,12.1,-0.9179310922960982,2.4932054526026954
KS,2009,13.6,-0.46533271288971,2.6100697927420065
KS,2010,14.0,0.1232521569127564,2.6390573296152584
KS,2011,13.8,-1.1715765345105766,2.624668592163159
KS,2012,17.4,-0.1460355639549826,2.856470206220483
KS,2013,14.7,0.5591878871300748,2.6878474937846906
KS,2014,15.7,3.178201728120466,2.7536607123542622
KS,2015,16.3,3.3373409062642523,2.791165107812717
KS,2016,17.9,5.087057690764674,2.884800712846709
KS,2017,19.1,3.832938840955946,2.9496883350525844
KS,2018,18.4,4.588572689168302,2.91235066461494
KS,2019,18.4,4.51381565070661,2.91235066461494
KS,2020,17.4,6.646485031954241,2.856470206220483
KS,2021,18.0,14.32221030719738,2.8903717578961645
KS,2022,18.5,10.420172703947905,2.917770732084279
KY,1999,11.6,,2.451005098112319
KY,2000,12.8,4.610277271239527,2.5494451709255714
KY,2001,12.1,4.541188039154331,2.4932054526026954
KY,2002,13.0,3.5144726153319983,2.5649493574615367
KY,2003,13.6,3.9444880426252382,2.6100697927420065
KY,2004,13.3,5.304776285464508,2.5877640352277083
KY,2005,13.4,4.2677634806233655,2.5952547069568657
KY,2006,14.6,2.7866242038216527,2.681021528714291
KY,2007,15.1,2.087881135131342,2.714694743820879
KY,2008,14.0,-0.5345749267115063,2.6390573296152584
KY,2009,13.5,-1.2586685159500677,2.602689685444384
KY,2010,14.2,0.1650454752958552,2.653241964607215
KY,2011,15.2,-1.2620950778292062,2.7212954278522306
KY,2012,16.2,0.6994745064621499,2.785011242238338
KY,2013,15.6,-0.3808046260710296,2.747270914255491
KY,2014,16.0,2.7536898736417514,2.772588722239781
KY,2015,17.1,3.60304502083979,2.8390784635086144
KY,2016,16.8,4.003058815706351,2.8213788864092133
KY,2017,16.9,4.526709504171866,2.827313621929028
KY,2018,17.8,4.012600544392431,2.8791984572980396
KY,2019,17.5,4.886941691905089,2.8622008809294686
KY,2020,16.8,6.226346331754096,2.8213788864092133
KY,2021,17.5,15.428058693127822,2.8622008809294686
KY,2022,18.0,11.239654305180856,2.8903717578961645
LA,1999,11.9,,2.476538400117484
LA,2000,10.7,3.9898670044331785,2.3702437414678603
LA,2001,11.2,5.590742996345921,2.4159137783010487
LA,2002,11.2,4.648748413888559,2.4159137783010487
LA,2003,10.3,4.767416225749566,2.33214389523559
LA,2004,11.9,5.844599926350669,2.476538400117484
LA,2005,11.0,8.702783300198824,2.3978952727983707
LA,2006,11.5,9.706917836404362,2.4423470353692043
LA,2007,12.0,2.967408518796377,2.4849066497880004
LA,2008,12.0,-0.8499959524002287,2.4849066497880004
LA,2009,10.9,-0.6735793598954931,2.388762789235098
LA,2010,12.3,-0.3740084665652898,2.509599262378372
LA,2011,12.5,-0.5816831683168266,2.525728644308256
LA,2012,12.4,1.2075189841902034,2.517696472610991
LA,2013,12.4,0.8897088970889699,2.517696472610991
LA,2014,14.3,3.0966798065591217,2.660259537265861
LA,2015,15.2,3.393905948204501,2.7212954278522306
LA,2016,14.2,3.9382386580251616,2.653241964607215
LA,2017,15.2,2.395187616916705,2.7212954278522306
LA,2018,15.0,0.9277833500501487,2.70805020110221
LA,2019,15.2,3.5882874889086036,2.7212954278522306
LA,2020,14.5,3.950524223942975,2.6741486494265287
LA,2021,15.0,9.94100003296088,2.70805020110221
LA,2022,15.5,6.805576375356015,2.740840023925201
MA,1999,6.7,,1.9021075263969205
MA,2000,6.0,14.23748182007063,1.791759469228055
MA,2001,6.5,11.5604965216205,1.8718021769015916
MA,2002,6.6,12.302581973059468,1.88706964903238
MA,2003,6.5,10.085649996370735,1.8718021769015916
MA,2004,6.4,10.923746414795763,1.8562979903656265
MA,2005,7.2,6.960605114945095,1.9740810260220096
MA,2006,6.7,-1.5893966128068593,1.9021075263969205
MA,2007,7.7,-4.11390171247864,2.0412203288596382
MA,2008,7.5,-5.949734242259175,2.0149030205422647
MA,2009,7.8,-3.9262343842950473,2.0541237336955462
MA,2010,8.8,-0.3552224213785315,2.174751721484161
MA,2011,8.4,-1.9525117739403357,2.128231705849268
MA,2012,8.7,0.2251576103272201,2.163323025660538
MA,2013,8.2,2.7823540179388706,2.1041341542702074
MA,2014,8.2,4.729215575163925,2.1041341542702074
MA,2015,8.9,4.365705098475714,2.186051276738094
MA,2016,8.8,5.268849059398595,2.174751721484161
MA,2017,9.5,5.420237240913517,2.2512917986064958
MA,2018,9.5,4.407426687489147,2.2512917986064953
MA,2019,9.4,4.859308881246727,2.2407096892759584
MA,2020,8.6,5.970349418448717,2.151762203259462
MA,2021,9.2,15.878001357585791,2.2192034840549946
MA,2022,9.5,8.523629864972193,2.2512917986064953
MD,1999,8.3,,2.1162555148025524
MD,2000,9.0,6.588698967570572,2.19722457733622
MD,2001,8.4,8.77376311241509,2.128231705849268
MD,2002,8.8,11.391516405557224,2.174751721484161
MD,2003,8.9,13.072610873387047,2.186051276738094
MD,2004,8.8,19.49366345928185,2.174751721484161
MD,2005,8.4,21.221122922446177,2.128231705849268
MD,2006,8.6,7.679688923992978,2.151762203259462
MD,2007,9.0,-1.4651394609641155,2.19722457733622
MD,2008,8.7,-10.158427180759675,2.163323025660538
MD,2009,9.3,-8.804283164782866,2.2300144001592104
MD,2010,8.3,-1.6843723790886278,2.1162555148025524
MD,2011,9.2,-3.063908438188667,2.2192034840549946
MD,2012,9.5,-0.7235748508849116,2.2512917986064958
MD,2013,9.2,1.472471190781044,2.2192034840549946
MD,2014,9.8,3.460325163795197,2.2823823856765264
MD,2015,8.8,1.5174969509334837,2.174751721484161
MD,2016,9.4,3.638842039599832,2.2407096892759584
MD,2017,9.9,2.7308395380980066,2.2925347571405443
MD,2018,10.4,1.2000086799904608,2.341805806147327
MD,2019,10.1,4.17703062012178,2.312535423847214
MD,2020,9.8,5.242466655689126,2.2823823856765264
MD,2021,10.2,13.776378322348481,2.322387720290225
MD,2022,10.5,7.00128921357972,2.3513752571634776
ME,1999,13.4,,2.5952547069568657
ME,2000,11.8,9.553614931974064,2.468099531471619
ME,2001,12.1,9.620253164556969,2.4932054526026954
ME,2002,12.5,10.380126084514064,2.525728644308256
ME,2003,10.0,10.30592626102691,2.302585092994046
ME,2004,12.4,12.603491143977651,2.517696472610991
ME,2005,12.4,9.679034828135658,2.517696472610991
ME,2006,11.0,2.488481175542745,2.3978952727983707
ME,2007,13.6,0.5811951965330797,2.6100697927420065
ME,2008,12.7,-4.115325763066768,2.5416019934645457
ME,2009,14.0,-4.693011926759628,2.6390573296152584
ME,2010,13.2,-0.4824957588843159,2.580216829592325
ME,2011,16.6,-1.8574274961257409,2.8094026953624978
ME,2012,14.5,-1.687306850736514,2.6741486494265287
ME,2013,17.4,-0.025239198770155,2.856470206220483
ME,2014,15.7,2.5498026255393214,2.7536607123542622
