state,year,mean_roa,median_roa,roa_std,roa_iqr,n_firms
SC,2007,0.0894341421122291,0.03032678821547088,0.09488970328436351,0.10388182134932908,30
SC,2008,0.06475067620619315,0.022324351790557258,0.1311670171123343,0.12607679644071654,30
SC,2009,0.05417885325017913,0.016101956499132593,0.12545785779873866,0.12738029123838682,33
SC,2010,0.09125446680275351,0.08390283157027228,0.09572041065862193,0.15683858030344416,30
SC,2011,0.07159042742528075,0.021360098456013967,0.1007186903265171,0.13074933471441694,31
SC,2012,0.05417625311336787,0.02831545877884958,0.11986287766169809,0.10106780606471129,29
SC,2013,0.06209553748262806,0.05122030345378319,0.10388064532976422,0.092107515713703,25
SC,2014,0.057973533240519924,0.0580090041088619,0.13378655291206099,0.08610173958561002,25
SC,2015,0.05496044518998885,0.02692599420816789,0.12180695208768405,0.07285573043496946,26
SC,2016,0.07885426176496045,0.07791655629583184,0.09283615526486445,0.08530335065768349,23
SC,2017,0.05670065952349688,0.02240811517138239,0.10287849464249099,0.07169649079392254,23
SC,2018,0.020205585874093258,0.02573549116245471,0.19254911856712953,0.09641073020471891,23
SC,2019,0.06934941281826924,0.06176883364116644,0.06306735826584413,0.0722762901004121,21
SC,2020,0.014236492494524017,0.06050254891276726,0.22404335844254855,0.06171498159750457,21
SC,2021,0.031130579668854394,0.03784034079761961,0.1487635447603145,0.08720606361797137,21
SC,2022,0.04139959473290063,0.021396204838175736,0.09084770525771485,0.06220801255991125,21
SC,2023,0.03323275289570758,0.016218263150380968,0.1245787868023421,0.0672623860198679,21
SC,2024,0.033045962364145705,0.02771981508187314,0.11334164442655009,0.06700998405003103,20
SD,1993,0.14690703993517804,0.1515705627435576,0.09108974211576337,0.07129838108829523,11
SD,1994,0.1321995989693279,0.12896860682740105,0.0708547740632874,0.09281533411835399,11
SD,1995,0.12926763447594852,0.12747770864070818,0.09073324194527976,0.1245390900431947,11
SD,1996,0.1332459697540454,0.13946036191296854,0.08482295813267406,0.10491023348340162,11
SD,1997,0.11739086554864055,0.11860408511483683,0.09344373553559672,0.10984497995109753,11
SD,1998,0.16467556200820924,0.15872953631996864,0.13572185302544892,0.08259999016476041,11
SD,1999,0.12710189429901791,0.13824995427680012,0.06871999515140052,0.0971215818544294,10
SD,2001,0.11405740998096232,0.1087410595361038,0.08952444232029479,0.1231083636404874,10
SD,2002,0.13923735708483267,0.12116065979538482,0.1702368595640528,0.2308920224606196,10
SD,2003,0.1766020560145558,0.14191181616110088,0.13405128253188256,0.2133407939753494,10
SD,2007,0.09797501105033798,0.08734778478279644,0.11638126079921346,0.1275125983841797,11
SD,2008,0.08573303416048024,0.09088017599929796,0.24231538919858867,0.17836601849277384,10
SD,2010,0.07382149395753775,0.08578518630002066,0.26003628939226675,0.13395863984510892,10
SD,2012,0.12872781159727728,0.10190433372350334,0.10577091985153433,0.1233652089983279,10
SD,2015,0.052730801144357076,0.03967280482475589,0.046650194890666324,0.0675103002236689,10
TN,1960,0.16008871065702127,0.17123287671232876,0.06199729846089079,0.08527149016465022,11
TN,1961,0.14813080025599928,0.1426829268292683,0.053403271880584184,0.0847403610918191,11
TN,1962,0.1529764225018047,0.16956497264191303,0.0512476911439794,0.07490169874987543,16
TN,1963,0.15282014938922892,0.17320829336324667,0.09282254944423837,0.10150786909756088,22
TN,1964,0.16066739516656728,0.15857188806690253,0.06815319277883644,0.08941746852157878,25
TN,1965,0.15319172892143745,0.16042471042471043,0.07426378039588773,0.08975359733126724,27
TN,1966,0.15477908462646647,0.1518808879555773,0.06974887326883139,0.0952898881936012,28
TN,1967,0.14666402477078208,0.14392771027374593,0.07684742589876199,0.08351077881882449,30
TN,1968,0.15849170593059167,0.1660931174089069,0.08784299585441767,0.10229911505867798,35
TN,1969,0.1557083317982041,0.1378809146930283,0.09310431502314215,0.10671539519044872,41
TN,1970,0.1326535655245572,0.13474068905775052,0.08101682619531353,0.11924217487694169,44
TN,1971,0.1346837126197392,0.14008234664681665,0.08337663926654164,0.12329387636086067,51
TN,1972,0.1350557056317355,0.13291925552230094,0.08026829367570379,0.12035127168304142,58
TN,1973,0.13687503314335028,0.1254065387244101,0.0872995873624698,0.11482550609300916,60
TN,1974,0.13117699957439485,0.12226725269707175,0.10650238809055254,0.14555833706429283,77
TN,1975,0.1255047101074004,0.12196501927503486,0.11270465867482025,0.12323059254291407,74
TN,1976,0.1311556643550265,0.14168922956421381,0.11405206454745552,0.13749967266031213,74
TN,1977,0.12666079931229526,0.14330568707993452,0.1486176936594131,0.14846901393121817,80
TN,1978,0.14342559235236485,0.14135407268823935,0.10100932826077928,0.13382848121315016,78
TN,1979,0.13644007993015014,0.1360631763673589,0.1011214596519224,0.10690854441447431,75
TN,1980,0.12617858930520723,0.12998804198591613,0.10709216781566165,0.10892106532503275,75
TN,1981,0.12073420223961873,0.14061360431759615,0.12592948656903769,0.12137573564438209,75
TN,1982,0.11858481046841302,0.13161888300838015,0.14561426047444473,0.1522540743111518,78
TN,1983,0.1153351671796531,0.12336340169631181,0.1403749627800231,0.11830296357327422,78
TN,1984,0.12488273401152693,0.12086017339080739,0.11419937789946838,0.11460615680415141,77
TN,1985,0.09066668175233965,0.0909897201550846,0.14558346516576562,0.12341154646911318,81
TN,1986,0.08701594397926311,0.0936959126614299,0.156977256638503,0.11401149089683246,81
TN,1987,0.08443337615327848,0.09582026588215704,0.13689996057227757,0.1049301042008893,81
TN,1988,0.09304880734235539,0.10229410578563203,0.12872831710679183,0.1276178064478884,78
TN,1989,0.09671823829128334,0.11683692126792045,0.13182612857574688,0.13776594569387002,78
TN,1990,0.11306157113849433,0.12549103713703763,0.13200508915478032,0.11785077288238831,94
TN,1991,0.12822650934271015,0.13344564158596564,0.1290067275876072,0.10934611520171626,94
TN,1992,0.12691409853815142,0.12521420567667751,0.11679017929700648,0.11243185984919395,100
TN,1993,0.11999763213967049,0.13097283559729048,0.12942524790028226,0.12077708987620943,114
TN,1994,0.125369806867498,0.12833189409968773,0.13002281422967055,0.12751587898790256,125
TN,1995,0.09734270243536657,0.1215164615896242,0.13533656841400188,0.13469739108878484,121
TN,1996,0.09873800025778055,0.13508287903259716,0.15054920064880015,0.1291758952966935,116
TN,1997,0.08065083066378524,0.12381741575228174,0.18729645555149158,0.13696051586611563,116
TN,1998,0.08091820789005243,0.10273954720706796,0.1777958453708062,0.11310322612886561,106
TN,1999,0.07573561646626029,0.10252952794810885,0.18377681879681365,0.1339415188707287,99
TN,2000,0.08894823302420254,0.12304230690793683,0.18537422815996377,0.1381791786588013,100
TN,2001,0.08582610255383843,0.11634675065798347,0.18881245282001982,0.14217800968809233,96
TN,2002,0.10713192064428152,0.12061235952905348,0.12760858663350833,0.13837408820524993,95
TN,2003,0.0936756844095629,0.10945204113125431,0.1755445973077712,0.13666174406100032,100
TN,2004,0.09891438311459548,0.12352622121091855,0.1471432637212172,0.134431678524695,106
TN,2005,0.10780983024252132,0.11681330987042074,0.1243597246585701,0.12707805847609288,95
TN,2006,0.11580113450096723,0.1269188418659145,0.13450322744020451,0.10831240435710195,94
TN,2007,0.0805412292210783,0.10984038980444968,0.17471897475057524,0.14980636856679486,90
TN,2008,0.0857663032535599,0.10648603207870255,0.15902152401220312,0.130056432244262,84
TN,2009,0.072014569962249,0.11255216532973486,0.17999557449646023,0.10924629730737871,85
TN,2010,0.1055696517322808,0.11906368162110466,0.11115072662437063,0.10547739180532016,82
TN,2011,0.09344790054623787,0.11635201896750103,0.14239119952223073,0.11576543805037026,74
TN,2012,0.09855199387134657,0.10527137184819665,0.17058128356703112,0.10289972408822583,70
TN,2013,0.08370257594764113,0.10456864642814033,0.18239209912431278,0.12145540820808468,74
TN,2014,0.0559499518788876,0.09703119301915727,0.2188524122618402,0.11668528829402985,76
TN,2015,0.06643398703297214,0.08982035928143714,0.20205430164054788,0.11827279057710464,73
TN,2016,0.06913476696284786,0.0993437841779074,0.18963023113611163,0.13580935235257666,71
TN,2017,0.06382393454887582,0.09592389388891506,0.19810593320222433,0.12618296971027257,70
TN,2018,0.0852780256212901,0.10423554172966737,0.145546270850518,0.13475298552641887,66
TN,2019,0.05362703461458741,0.08712597846158875,0.18187020809413043,0.10507621214837813,67
TN,2020,0.07850008638068333,0.07368002773303652,0.16431386094439404,0.10290153166092447,63
TN,2021,0.10443716190341644,0.09454583217967558,0.1888404712407856,0.16148222259085201,64
TN,2022,0.08548554471765321,0.08541822891812666,0.203322066669147,0.12440834841782433,65
TN,2023,0.08644664340699987,0.09266386921443319,0.17321131481857896,0.11823897833451885,62
TN,2024,0.08349138463610295,0.0867765536244838,0.1211484992028087,0.09493813737819592,57
TX,1950,0.22412104838945646,0.20997686524002313,0.07967055830340508,0.0974432796180301,38
TX,1951,0.23629866948749834,0.2220175637243896,0.08869317655437242,0.10317362876635355,38
TX,1952,0.2079413115242169,0.19728698276894996,0.07810884044591655,0.09975440528308815,38
TX,1953,0.21195017660372945,0.20348837209302326,0.08688609479510052,0.09310055491204214,41
TX,1954,0.19024088192797886,0.18330748583358186,0.08004938360070347,0.09103682070914226,42
TX,1955,0.20930025960684848,0.2069280343716434,0.08189894290474811,0.11349272839632443,44
TX,1956,0.21226344701227615,0.20290023201856147,0.0857481550683249,0.10699459220899812,45
