state,year,mean_mb,median_mb,std_mb,n_obs,mean_pe,median_pe,total_mktcap,mean_mktcap,total_emp,n_firms,mb_change,pe_change,mktcap_change,log_mb_change,log_mktcap_change
AL,1992,1.8127795296621088,1.722791751102634,0.8873956194727918,37,19.98616502566356,14.527206412752921,14078.19887431712,380.49186146803027,113.072,37,1.3870866052642539,25.037174157533258,19.799533791423073,1.3775546026263075,18.064960812828268
AL,1993,2.012744566696894,1.6487553427985402,1.8506582435246763,46,23.190279143615747,14.18048780487805,17104.89003389997,371.84543551956455,142.193,46,11.030852553374615,16.031660470319807,21.499136264543385,10.4637927634342,19.47369678334443
AL,1994,1.844063131709127,1.5236796285548462,1.3266856589324756,49,15.916956798676438,12.88799813200498,18127.96477301549,369.95846475541816,156.016,49,-8.380667759773875,-31.363668802329382,5.981182790932316,-8.75278859185733,5.809137152502508
AL,1995,2.1609614774455745,1.5742445709900132,2.2493748641839275,51,23.685392170487965,15.98050823823338,26165.89996597595,513.0568620779599,162.166,51,17.1847883235287,48.80603415633764,44.339975797643795,15.858189026969116,36.700127398000504
AL,1996,2.045672744138441,1.748933772931444,1.4280230368850693,51,21.37547112099265,15.382347754526213,35475.57864635006,695.5995813009816,168.376,51,-5.335066566916035,-9.752513417841913,35.57943236227179,-5.482654546805432,30.438749926951125
AL,1997,2.2753499885141237,1.9739558630695186,1.5727948097472697,52,24.466015970160587,19.24240109210843,51113.79556436776,982.9576070070724,196.196,52,11.22746759147022,14.458370679525,44.08164014437197,10.640717604092709,36.52098983820853
AL,1998,1.9086646979270083,1.6895480320365435,1.1262181554547992,53,21.307361428295998,17.479018266450385,48383.3414375,912.8932346698114,187.356,53,-16.115555516211934,-12.91037554180039,-5.341912289470452,-17.572999514221145,-5.489886337758421
AL,1999,1.9381253440531316,1.3334379534189273,2.294668847292972,52,16.61913784428581,13.940935646397282,40516.97871875,779.1726676682691,177.375,52,1.5435212983254898,-22.002835028574996,-16.25841143880381,1.5317301857624033,-17.74344554170515
AL,2000,1.2736972576527097,1.0308010457483554,1.0175419959230936,54,14.845231145108373,11.79,45092.8635155,835.0530280648148,183.793,54,-34.28199772729494,-10.673879209608705,11.29374632919613,-41.979729083574,10.700288319637608
AL,2001,1.3946964873768641,1.3118892508143323,0.7358318310073239,49,20.0023368480186,14.056794839107937,47006.76218,959.3216771428571,170.852,49,9.499842211103072,34.73914048559315,4.2443493610516025,9.07529222729335,4.156747045010967
