state,year,unemployment_rate
MI,2014,7.2250000000000005
MI,2015,5.416666666666667
MI,2016,4.991666666666666
MI,2017,4.583333333333333
MI,2018,4.166666666666667
MI,2019,4.075
MI,2020,10.075000000000001
MI,2021,5.7250000000000005
MI,2022,4.133333333333334
MI,2023,3.9
MN,1995,3.658333333333333
MN,1996,3.85
MN,1997,3.225
MN,1998,2.6750000000000003
MN,1999,2.775
MN,2000,3.108333333333333
MN,2001,3.7583333333333333
MN,2002,4.416666666666667
MN,2003,4.758333333333334
MN,2004,4.625
MN,2005,4.108333333333333
MN,2006,4.058333333333333
MN,2007,4.6000000000000005
MN,2008,5.45
MN,2009,7.7
MN,2010,7.366666666666667
MN,2011,6.575
MN,2012,5.658333333333334
MN,2013,5.041666666666667
MN,2014,4.241666666666666
MN,2015,3.7583333333333333
MN,2016,3.8666666666666667
MN,2017,3.4416666666666664
MN,2018,3.025
MN,2019,3.275
MN,2020,6.291666666666667
MN,2021,3.6833333333333336
MN,2022,2.4833333333333334
MN,2023,2.8249999999999997
MS,1995,6.183333333333334
MS,1996,5.991666666666667
MS,1997,5.716666666666666
MS,1998,5.2250000000000005
MS,1999,5.091666666666667
MS,2000,5.325
MS,2001,5.45
MS,2002,6.3999999999999995
MS,2003,6.141666666666667
MS,2004,6.166666666666667
MS,2005,7.6499999999999995
MS,2006,6.383333333333333
MS,2007,6.133333333333333
MS,2008,6.716666666666666
MS,2009,9.241666666666667
MS,2010,10.125
MS,2011,9.8
MS,2012,8.825000000000001
MS,2013,8.491666666666665
MS,2014,7.6000000000000005
MS,2015,6.45
MS,2016,5.991666666666667
MS,2017,5.208333333333333
MS,2018,4.941666666666667
MS,2019,5.491666666666667
MS,2020,8.0
MS,2021,5.408333333333334
MS,2022,3.733333333333333
MS,2023,3.108333333333333
MO,1995,4.825
MO,1996,4.733333333333333
MO,1997,4.375
MO,1998,4.058333333333334
MO,1999,3.2416666666666667
MO,2000,3.391666666666667
MO,2001,4.5249999999999995
MO,2002,5.325
MO,2003,5.691666666666666
MO,2004,5.841666666666666
MO,2005,5.416666666666667
MO,2006,4.891666666666667
MO,2007,5.083333333333333
MO,2008,6.158333333333334
MO,2009,9.091666666666667
MO,2010,9.416666666666666
MO,2011,8.575000000000001
MO,2012,7.141666666666667
MO,2013,6.758333333333333
MO,2014,6.166666666666667
MO,2015,5.1000000000000005
MO,2016,4.575
MO,2017,3.7916666666666665
MO,2018,3.233333333333333
MO,2019,3.233333333333333
MO,2020,6.216666666666666
MO,2021,4.141666666666667
MO,2022,2.6
MO,2023,3.1
MT,1995,5.708333333333333
MT,1996,5.533333333333334
MT,1997,5.4750000000000005
MT,1998,5.591666666666666
MT,1999,5.3
MT,2000,4.833333333333333
MT,2001,4.616666666666666
MT,2002,4.566666666666666
MT,2003,4.733333333333333
MT,2004,4.541666666666667
MT,2005,4.083333333333333
MT,2006,3.3666666666666667
MT,2007,3.391666666666667
MT,2008,4.7250000000000005
MT,2009,7.1000000000000005
MT,2010,7.1499999999999995
MT,2011,6.625
